"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"29.4 Fabricação de peças e acessórios para veículos automotores";"2007";"63527034";"39122552";"5372608";"123814328";"76249939";"10471225";"1,42772908334300"
"Sub_Setor";"29.5 Recondicionamento e recuperação de motores para veículos automotores";"2007";"493613";"170186";"114098";"962053";"331693";"222377";"1,73633760605592"
"Setor";"30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"2007";"28429297";"17512915";"2238251";"55408762";"34132710";"4362356";"1,43937309827683"
"Sub_Setor";"30.1 Construção de embarcações";"2007";"3348135";"2094868";"352252";"6525522";"4082902";"686540";"1,36819404034130"
"Sub_Setor";"30.3 Fabricação de veículos ferroviários";"2007";NA;NA;NA;NA;NA;NA;NA
"Sub_Setor";"30.4 Fabricação de aeronaves";"2007";"9681030";"6266765";"1052864";"18868349";"12213939";"2052034";"1,32261211599659"
"Sub_Setor";"30.5 Fabricação de veículos militares de combate";"2007";NA;NA;NA;NA;NA;NA;NA
"Sub_Setor";"30.9 Fabricação de equipamentos de transporte não especificados anteriormente";"2007";"13227585";"8316454";"534347";"25780592";"16208787";"1041443";"1,49450710732283"
"Setor";"31 Fabricação de móveis";"2007";"16261910";"9951672";"1756398";"31694498";"19395830";"3423224";"1,38894881906241"
"Sub_Setor";"31.0 Fabricação de móveis";"2007";"16261910";"9951672";"1756398";"31694498";"19395830";"3423224";"1,38894881906241"
"Setor";"32 Fabricação de produtos diversos";"2007";"11377386";"5341161";"1185405";"22174550";"10409934";"2310357";"1,74324231150041"
"Sub_Setor";"32.1 Fabricação de artigos de joalheria, bijuteria e semelhantes";"2007";"992390";"408098";"173235";"1934170";"795384";"337635";"1,70709386874648"
"Sub_Setor";"32.2 Fabricação de instrumentos musicais";"2007";"118052";"46755";"19785";"230084";"91126";"38561";"1,77415088668470"
"Sub_Setor";"32.3 Fabricação de artefatos para pesca e esporte";"2007";"390952";"191950";"36967";"761966";"374111";"72049";"1,70783297002844"
"Sub_Setor";"32.4 Fabricação de brinquedos e jogos recreativos";"2007";"1033580";"502083";"112330";"2014450";"978561";"218931";"1,68222352066118"
"Sub_Setor";"32.5 Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos";"2007";"3873793";"1693750";"375176";"7550031";"3301122";"731219";"1,87236904558210"
"Sub_Setor";"32.9 Fabricação de produtos diversos";"2007";"4968619";"2498527";"467911";"9683849";"4869635";"911960";"1,67494449572181"
"Setor";"33 Manutenção, reparação e instalação de máquinas e equipamentos";"2007";"10327292";"4334280";"1876996";"20127915";"8447521";"3658269";"1,66266834705139"
"Sub_Setor";"33.1 Manutenção e reparação de máquinas e equipamentos";"2007";"9721150";"4094721";"1764328";"18946543";"7980620";"3438679";"1,65916857838192"
"Sub_Setor";"33.2 Instalação de máquinas e equipamentos";"2007";"606142";"239560";"112667";"1181372";"466903";"219588";"1,72088454320651"
"Total Indústria";"Total";"2008";"1742960702";"1024008470";"98935060";"3214496044";"1888551573";"182463299";"1,55213566438198"
"Indústria";"B Indústrias extrativas";"2008";"56808011";"18487369";"3070834";"104769503";"34095763";"5663457";"2,63509954888169"
"Setor";"05 Extração de carvão mineral";"2008";"1041372";"550388";"129673";"1920575";"1015066";"239152";"1,53129204586059"
"Sub_Setor";"05.0 Extração de carvão mineral";"2008";"1041372";"550388";"129673";"1920575";"1015066";"239152";"1,53129204586059"
"Setor";"06 Extração de petróleo e gás natural";"2008";"154306";"64696";"28964";"284582";"119317";"53418";"1,64751227845398"
"Sub_Setor";"06.0 Extração de petróleo e gás natural";"2008";"154306";"64696";"28964";"284582";"119317";"53418";"1,64751227845398"
"Setor";"07 Extração de minerais metálicos";"2008";"43706093";"13722295";"1164986";"80605984";"25307664";"2148553";"2,93580090279750"
"Sub_Setor";"07.1 Extração de minério de ferro";"2008";"40290889";"12565894";"974954";"74307414";"23174944";"1798082";"2,97550707311684"
"Sub_Setor";"07.2 Extração de minerais metálicos não-ferrosos";"2008";"3415203";"1156399";"190032";"6298568";"2132716";"350471";"2,53648571668359"
"Setor";"08 Extração de minerais não-metálicos";"2008";"6938669";"2964188";"679639";"12796803";"5466773";"1253440";"1,90422569457880"
"Sub_Setor";"08.1 Extração de pedra, areia e argila";"2008";"4992692";"2103597";"520806";"9207889";"3879608";"960509";"1,90241056727949"
"Sub_Setor";"08.9 Extração de outros minerais não-metálicos";"2008";"1945977";"860589";"158833";"3588914";"1587161";"292931";"1,90890229953837"
"Setor";"09 Atividades de apoio à extração de minerais";"2008";"4967570";"1185804";"1067573";"9161557";"2186947";"1968896";"2,20450017906458"
"Sub_Setor";"09.1 Atividades de apoio à extração de petróleo e gás natural";"2008";"4966987";"1185391";"1067546";"9160482";"2186185";"1968847";"2,20467194599760"
"Sub_Setor";"09.9 Atividades de apoio à extração de minerais, exceto petróleo e gás natural";"2008";"583";"413";"27";"1075";"762";"50";"1,32500000000000"
"Indústria";"C Indústrias de transformação";"2008";"1686152691";"1005521102";"95864225";"3109726540";"1854455812";"176799839";"1,53093803745581"
"Setor";"10 Fabricação de produtos alimentícios";"2008";"281403908";"188959997";"11636425";"518985740";"348493894";"21460749";"1,40283612835328"
"Sub_Setor";"10.1 Abate e fabricação de produtos de carne";"2008";"82008935";"56171354";"4282373";"151246897";"103595333";"7897867";"1,35655713997584"
"Sub_Setor";"10.2 Preservação do pescado e fabricação de produtos do pescado";"2008";"1779235";"1154564";"107163";"3281396";"2129332";"197638";"1,41015845741591"
"Sub_Setor";"10.3 Fabricação de conservas de frutas, legumes e outros vegetais";"2008";"9909293";"5915632";"500105";"18275445";"10910043";"922330";"1,54452917879894"
"Sub_Setor";"10.4 Fabricação de óleos e gorduras vegetais e animais";"2008";"62878788";"48736777";"575952";"115965676";"89883941";"1062213";"1,27510258051222"
"Sub_Setor";"10.5 Laticínios";"2008";"33903654";"21157453";"1238926";"62527607";"39020128";"2284918";"1,51380069072773"
"Sub_Setor";"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais";"2008";"33097990";"22856881";"888466";"61041742";"42154337";"1638574";"1,39387266061010"
"Sub_Setor";"10.7 Fabricação e refino de açúcar";"2008";"21085706";"11486087";"1673975";"38887806";"21183485";"3087268";"1,60224974623980"
"Sub_Setor";"10.8 Torrefação e moagem de café";"2008";"6221953";"4564637";"121081";"11474982";"8418439";"223306";"1,32785477060293"
"Sub_Setor";"10.9 Fabricação de outros produtos alimentícios";"2008";"30518354";"16916614";"2248385";"56284188";"31198861";"4146637";"1,59240050051659"
"Setor";"11 Fabricação de bebidas";"2008";"39768309";"19273087";"1018270";"73343634";"35544842";"1877968";"1,95986443883472"
